,event_id,event_name,start_datetime,end_datetime,event_agency,event_type,event_borough,event_location,event_street_side,street_closure_type,community_board,police_precinct
4441,420433,Miscellaneous,2018-08-13T10:00:00+00:00,2018-08-13T16:00:00+00:00,Parks Department,Special Event,Brooklyn,"Bush Terminal Park: Softball-02 ,Bush Terminal Park: Softball-03 ,Leif Ericson Park: Chris Hoban-Softball-01 ,Leif Ericson Park: Chris Hoban-Softball-02",,,"07, 10","68, 72"
4442,420433,Miscellaneous,2018-08-14T10:00:00+00:00,2018-08-14T16:00:00+00:00,Parks Department,Special Event,Brooklyn,"Bush Terminal Park: Softball-02 ,Bush Terminal Park: Softball-03 ,Leif Ericson Park: Chris Hoban-Softball-01 ,Leif Ericson Park: Chris Hoban-Softball-02",,,"07, 10","68, 72"
4443,420433,Miscellaneous,2018-08-15T10:00:00+00:00,2018-08-15T16:00:00+00:00,Parks Department,Special Event,Brooklyn,"Bush Terminal Park: Softball-02 ,Bush Terminal Park: Softball-03 ,Leif Ericson Park: Chris Hoban-Softball-01 ,Leif Ericson Park: Chris Hoban-Softball-02",,,"07, 10","68, 72"
4444,420433,Miscellaneous,2018-08-16T10:00:00+00:00,2018-08-16T16:00:00+00:00,Parks Department,Special Event,Brooklyn,"Bush Terminal Park: Softball-02 ,Bush Terminal Park: Softball-03 ,Leif Ericson Park: Chris Hoban-Softball-01 ,Leif Ericson Park: Chris Hoban-Softball-02",,,"07, 10","68, 72"
4445,420446,Barbecue,2018-08-18T13:00:00+00:00,2018-08-18T19:30:00+00:00,Parks Department,Special Event,Queens,Forest Park: BBQ Area White,,,82,102
4446,420482,After Lunch Story Time at Van Nest Playground,2018-08-16T14:00:00+00:00,2018-08-16T15:00:00+00:00,Parks Department,Special Event,Bronx,Van Nest Park: Van Nest Park,,,11,49
4447,420482,After Lunch Story Time at Van Nest Playground,2018-08-23T14:00:00+00:00,2018-08-23T15:00:00+00:00,Parks Department,Special Event,Bronx,Van Nest Park: Van Nest Park,,,11,49
4448,420482,After Lunch Story Time at Van Nest Playground,2018-08-30T14:00:00+00:00,2018-08-30T15:00:00+00:00,Parks Department,Special Event,Bronx,Van Nest Park: Van Nest Park,,,11,49
4449,420488,FLATBUSH OPTICAL,2018-08-12T12:00:00+00:00,2018-08-12T16:00:00+00:00,Parks Department,Special Event,Brooklyn,Prospect Park: Park Circle Lawn Northwest,,,55,78
4450,420497,Bilingual Yoga,2018-08-15T18:00:00+00:00,2018-08-15T19:00:00+00:00,Parks Department,Special Event,Manhattan,Sherman Creek: Riley - Levin Children's Garden,,,12,34
4451,420497,Bilingual Yoga,2018-08-22T18:00:00+00:00,2018-08-22T19:00:00+00:00,Parks Department,Special Event,Manhattan,Sherman Creek: Riley - Levin Children's Garden,,,12,34
